       494		  0.445314		1109.329473		1109.329473
       322		  0.291851		1103.302547		1103.302547
       494		  0.413769		1193.902859		1193.902859
       322		  0.320731		1003.956823		1003.956823
       494		  0.440976		1120.242311		1120.242311
       322		  0.490812		656.055754		656.055754
       494		  0.324253		1523.501884		1523.501884
       322		  0.341371		943.255451		943.255451
       494		  0.334078		1478.696794		1478.696794
       322		  0.314344		1024.355714		1024.355714
       494		  0.467931		1055.711133		1055.711133
       322		  0.617536		521.427134		2739.587364
       494		  0.324995		1520.023751		1520.023751
       170		  0.491748		345.705541		345.705541
       192		  0.112173		1711.642430		1711.642430
       494		  0.450991		1095.365456		1095.365456
       362		  0.494301		732.347175		732.347175
       494		  0.419401		1177.870539		1177.870539
       322		  0.443708		725.702582		725.702582
       613		  4.216524		145.380413		744.000000
       258		  0.856752		301.137305		723.191384
       144		  0.021126		6816.235100		6816.235100
       494		  0.419236		1178.333742		1178.333742
       322		  0.512200		628.660682		26393.447162
       494		  0.584461		845.223244		5848.855135
       322		  0.871030		369.677290		867.854414
       494		  0.323390		1527.567300		1527.567300
       322		  0.349734		920.699867		920.699867
       494		  0.474381		1041.357119		1041.357119
       362		  0.702315		515.438162		1789.288166
       197		  0.377729		521.538012		521.538012
       297		  0.557548		532.689518		5160.905019
       362		  0.813999		444.718025		1152.870143
       494		  1.426013		346.420406		1056.305811
       322		  0.485610		663.083533		663.083533
       494		  1.046865		471.885111		10540.918450
       322		  0.887694		362.737610		830.551928
       494		  0.614474		803.939554		4315.388202
       322		  0.373003		863.263820		863.263820
       136		  0.153050		888.598120		888.598120
       358		  0.471312		759.581689		759.581689
       322		  0.314902		1022.540515		1022.540515
       576		  0.553029		1041.536587		10861.968816
       178		  0.178205		998.849565		998.849565
       144		  0.030347		4745.116460		4745.116460
       534		  3.129060		170.658279		945.296542
       322		  0.562144		572.806926		5181.510480
     16970		  1.072017		15829.973519		235638.956635
     19385		  3.284471		5902.015817		68144.020356
     23316		  3.817259		6108.047759		67916.128844
       447		  1.527972		292.544631		15980.275717
     23316		  3.748962		6219.321434		93315.428970
     11089		  3.903295		2840.933167		27496.007078
     13500		  2.696299		5006.863191		68568.881947
      9936		  2.177146		4563.773028		56089.340763
     13653		  3.932326		3471.990808		31386.031696
     33252		  7.884069		4217.619118		60489.136228
      6795		  3.585950		1894.895347		34904.007068
     16657		  2.203235		7560.246534		81959.296022
        84		  0.474933		176.867087		176.867087
     23232		  2.252862		10312.215756		91876.166428
     10485		  2.234760		4691.778886		44662.625427
     15931		  5.688588		2800.519204		81272.393342
        80		  0.233090		343.215179		343.215179
     10485		  2.383982		4398.103782		27191.382790
      8773		  1.880156		4666.102075		23077.365798
        80		  0.428395		186.743528		186.743528
      3269		  2.345594		1393.676868		9216.018367
      9775		  2.002570		4881.227542		15564.002041
     19298		  5.460102		3534.366232		22788.427053
     23377		  6.842766		3416.308528		42542.000000
        80		  0.424346		188.525415		188.525415
     15178		  3.507407		4327.413447		2037815.835967
     22855		  2.764709		8266.692818		86340.095580
     15888		  3.602257		4410.568136		154551.746494
     22855		  2.686260		8508.111697		122704.831119
     15888		  3.019666		5261.508922		807888.682884
      3805		  3.985216		954.778858		6182.813153
     12097		  5.258590		2300.426548		9000.000000
     15624		  3.326493		4696.838347		31080.000000
     15490		  5.234860		2959.009442		30652.000000
     15804		  2.289917		6901.560211		54512.154947
      6269		  1.648157		3803.642492		40922.804713
     16626		  3.858379		4309.063462		25464.661259
      7769		  2.333616		3329.168098		17984.747947
      6000		  2.922705		2052.892828		3548.574610
      8785		  2.370769		3705.548669		6000.000000
        80		  0.467940		170.962056		170.962056
     33340		  8.602301		3875.707208		45458.000000
     12023		  4.326483		2778.931518		16068.217394
     10525		  4.876200		2158.443015		11354.000000
     23276		  5.728924		4062.892064		37384.000000
        80		  0.495978		161.297478		161.297478
      1666		  1.289174		1292.300381		5187.189042
     19160		  3.807989		5031.527138		15000.000000
        84		  0.487926		172.157251		172.157251
     51146		  6.563995		7791.901117		83842.000000
     19389		  2.922056		6635.396268		45939.392817
    667878		 32.865273		20321.693358		1332500.000000
        80		  0.466901		171.342510		171.342510
      3269		  2.006512		1629.195303		230342.358175
     90458		  7.555842		11971.928598		1619894.078303
     20889		  3.721433		5613.160241		94335.514121
       206		  1.321732		155.856113		379.197681
     49646		  4.819929		10300.151716		154599.925063
      3229		  1.846042		1749.147714		4334.734964
     17620		  4.383688		4019.446664		20240.000000
        80		  0.452081		176.959452		176.959452
     15269		  5.709983		2674.088526		21430.307159
    165071		 14.182605		11638.976032		300314.000000
     17849		  6.239488		2860.651384		12000.000000
     23643		  3.829272		6174.280788		52764.901398
      7729		  3.408085		2267.842506		7351.409838
     39352		  4.947912		7953.253661		48000.000000
       491		  1.926227		254.902463		700.000000
        84		  0.631242		133.070986		304.780396
     34994		  6.189091		5654.142133		39663.449354
     22812		  4.895251		4660.026592		18624.000000
        80		  0.509822		156.917509		4072.485769
        84		  0.499636		168.122375		168.122375
     24154		  9.890755		2442.078502		12126.000000
        80		  0.433355		184.606165		184.606165
      6269		  3.216698		1948.892902		6922.074271
      9545		  2.151891		4435.633603		7010.000000
     23723		  3.141274		7552.031210		47034.000000
      7769		  2.278578		3409.582579		21537.950140
      3754		  1.148275		3269.251653		5085.145236
        80		  0.420648		190.182721		190.182721
     12853		  6.284423		2045.215609		9000.000000
     13023		  2.465298		5282.525817		24272.619955
      7769		  2.928628		2652.777946		6999.074701
     11216		  2.054837		5458.340522		13352.000000
      4729		  1.547787		3055.329826		62778.487628
